UKPRN,providerName,Region,subject,sex,yearsAfterGraduation,grads,unmatched,matched,activityNotCaptured,noSustDest,sustEmpOnly,sustEmp,sustEmpFSorBoth,earningsInclude,lowerAnnEarn,medianAnnEarn,upperAnnEarn,POLARGrpOne,POLARGrpOneIncluded,prAttBand,prAttIncluded
10007160,The University of Surrey,South East,Social studies (excluding economics),Female,1,85,0,85,x,x,x,x,87.6,55,14400,18200,22900,x,x,2,81.5
10007806,The University of Sussex,South East,Social studies (excluding economics),Female,1,250,1,245,4.7,12.8,54.8,74.6,82.6,135,12900,17500,22900,4.2,73.2,1,66.7
10007161,Teesside University,North East,Social studies (excluding economics),Female,1,180,0,180,2.6,11.8,x,x,85.6,110,11800,15800,20400,25.5,55.6,3,40
10008017,Trinity Laban Conservatoire of Music and Dance,London,Social studies (excluding economics),Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007784,University College London,London,Social studies (excluding economics),Female,1,75,0.7,75,13.7,14.1,44.1,61.8,72.2,30,17300,21200,24800,x,x,1,82.6
10007163,The University of Warwick,West Midlands,Social studies (excluding economics),Female,1,115,0.9,110,14.3,14.1,48.8,63,71.6,55,13100,19200,26300,x,x,1,78.3
10007164,University of the West of England Bristol,South West,Social studies (excluding economics),Female,1,210,1.2,210,5.8,11.5,x,x,82.7,145,14200,18500,22300,12.9,73.4,2,59.9
10006566,The University of West London,London,Social studies (excluding economics),Female,1,50,x,x,x,x,x,x,x,35,11900,21300,25900,x,x,x,x
10007165,The University of Westminster,London,Social studies (excluding economics),Female,1,130,0,130,9,16.2,57.1,69.8,74.8,70,11400,15400,19500,3.6,85.2,2,76.3
10003614,The University of Winchester,South East,Social studies (excluding economics),Female,1,55,0,55,x,x,x,x,90.2,45,16100,18800,23600,x,x,2,54.6
10007166,The University of Wolverhampton,West Midlands,Social studies (excluding economics),Female,1,165,0.3,165,5.5,10.4,x,x,84.1,110,9200,14000,20800,18.1,42.1,3,25
10007139,University of Worcester,West Midlands,Social studies (excluding economics),Female,1,120,0.8,120,x,x,x,x,85.4,80,9900,14100,18800,10.5,52.2,2,37.7
10007657,Writtle College,East,Social studies (excluding economics),Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007713,York St John University,Yorkshire and the Humber,Social studies (excluding economics),Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007167,The University of York,Yorkshire and the Humber,Social studies (excluding economics),Female,1,195,1,190,6.7,13,53.7,70,80.3,100,13300,18400,22900,8.2,86.2,1,73.9
10007856,Aberystwyth University,Wales,Social studies (excluding economics),Female,1,60,3.4,55,9.1,6.4,55.6,74.6,84.5,30,11500,13400,17300,7.9,95.9,.,.
10007857,Bangor University,Wales,Social studies (excluding economics),Female,1,120,2.1,115,x,x,42.7,73.1,84.4,50,9300,14900,18700,x,x,.,.
10007814,Cardiff University,Wales,Social studies (excluding economics),Female,1,140,0.7,140,x,x,56.8,74.8,79.5,75,12200,16600,21000,12.3,96.8,.,.
10007854,Cardiff Metropolitan University,Wales,Social studies (excluding economics),Female,1,95,3.1,95,x,x,x,x,87,55,14100,21400,26800,x,x,.,.
10007833,Glynd?r University,Wales,Social studies (excluding economics),Female,1,70,0,70,x,x,x,x,85.5,45,11100,16100,23600,x,x,.,.
10007855,Swansea University,Wales,Social studies (excluding economics),Female,1,130,1.2,130,2.4,8.2,57.6,84.3,89.4,70,12700,17300,21200,12.5,65.9,.,.
10007858,University of Wales Trinity Saint David,Wales,Social studies (excluding economics),Female,1,60,0,60,9.4,6.8,x,x,83.8,40,10400,15000,18500,x,x,.,.
10007793,University of South Wales,Wales,Social studies (excluding economics),Female,1,140,0.7,140,x,x,x,x,88.9,85,11400,14600,22100,x,x,.,.
10008574,University of Wales (central functions),Wales,Social studies (excluding economics),Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007783,The University of Aberdeen,Scotland,Social studies (excluding economics),Female,1,100,2.5,95,7.3,12.2,51.5,70.5,80.5,50,15000,17700,22200,..,..,.,.
10007849,University of Abertay Dundee,Scotland,Social studies (excluding economics),Female,1,45,0,45,x,x,x,x,76.6,20,12000,17200,20000,..,..,.,.
10007852,The University of Dundee,Scotland,Social studies (excluding economics),Female,1,85,2.3,85,x,x,x,x,91.7,55,14600,21400,28200,..,..,.,.
10007772,Edinburgh Napier University,Scotland,Social studies (excluding economics),Female,1,45,6.6,40,x,x,x,x,79.5,25,14500,18100,21000,..,..,.,.
10007790,The University of Edinburgh,Scotland,Social studies (excluding economics),Female,1,160,1.9,160,5.6,10.6,60.1,73.1,83.8,85,13000,19000,24400,..,..,.,.
10007762,Glasgow Caledonian University,Scotland,Social studies (excluding economics),Female,1,155,4.5,150,9.5,6.1,x,x,84.5,100,14500,18500,28100,..,..,.,.
10002681,Glasgow School of Art,Scotland,Social studies (excluding economics),Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007794,The University of Glasgow,Scotland,Social studies (excluding economics),Female,1,140,1.5,135,7.2,10.2,46.6,74.8,82.6,60,13000,17000,20100,..,..,.,.
10007764,Heriot-Watt University,Scotland,Social studies (excluding economics),Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10005337,Queen Margaret University Edinburgh,Scotland,Social studies (excluding economics),Female,1,10,x,x,x,x,x,x,x,x,x,x,x,..,..,..,..
10005500,The Robert Gordon University,Scotland,Social studies (excluding economics),Female,1,115,4.3,110,x,x,x,x,85.7,80,18400,26600,30700,..,..,.,.
10005561,Royal Conservatoire of Scotland,Scotland,Social studies (excluding economics),Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007803,The University of St Andrews,Scotland,Social studies (excluding economics),Female,1,55,0.9,55,x,x,x,x,74.2,20,19000,20600,26600,..,..,.,.
10005700,SRUC,Scotland,Social studies (excluding economics),Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007804,The University of Stirling,Scotland,Social studies (excluding economics),Female,1,100,2,95,x,x,x,x,79.9,55,12500,17500,24100,..,..,.,.
10007805,The University of Strathclyde,Scotland,Social studies (excluding economics),Female,1,100,4.1,95,x,x,55.3,60.6,71.8,50,15600,19800,27600,..,..,.,.
10007114,University of the Highlands and Islands,Scotland,Social studies (excluding economics),Female,1,110,x,x,x,x,x,x,x,50,7800,12600,17500,..,..,.,.
10007800,The University of the West of Scotland,Scotland,Social studies (excluding economics),Female,1,155,3.8,150,x,x,x,x,87.4,95,12100,18200,25100,..,..,.,.
10000291,Anglia Ruskin University,East,Subjects allied to medicine (excluding nursing),Female,1,45,0,45,x,x,x,x,90.9,35,14000,23000,25500,x,x,2,52.3
10007759,Aston University,West Midlands,Subjects allied to medicine (excluding nursing),Female,1,125,0,125,4.7,6.3,70.9,84.3,89,80,17400,23400,27400,7.3,85.8,1,82.7
10000571,Bath Spa University,South West,Subjects allied to medicine (excluding nursing),Female,1,25,x,x,x,x,x,x,x,15,8000,12700,16400,x,x,x,x
10007850,The University of Bath,South West,Subjects allied to medicine (excluding nursing),Female,1,55,0,55,x,x,35.7,76.8,82.1,20,23100,26300,29800,x,x,1,69.6
10007152,University of Bedfordshire,East,Subjects allied to medicine (excluding nursing),Female,1,100,3.9,100,7.1,7.1,x,x,85.7,35,7500,12900,18600,x,x,3,43.9
10007760,Birkbeck College,London,Subjects allied to medicine (excluding nursing),Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007140,Birmingham City University,West Midlands,Subjects allied to medicine (excluding nursing),Female,1,155,1.3,150,x,x,x,x,82.2,115,18400,22000,25200,8.3,55.3,2,40.1
10006840,The University of Birmingham,West Midlands,Subjects allied to medicine (excluding nursing),Female,1,140,0,140,x,x,41.1,67.1,86,60,16100,21000,23200,4.5,94.1,1,84.3
10000712,University College Birmingham,West Midlands,Subjects allied to medicine (excluding nursing),Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007811,Bishop Grosseteste University,East Midlands,Subjects allied to medicine (excluding nursing),Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10006841,The University of Bolton,North West,Subjects allied to medicine (excluding nursing),Female,1,35,x,x,x,x,x,x,x,20,22200,30900,36000,x,x,.,.
10000385,The Arts University Bournemouth,South West,Subjects allied to medicine (excluding nursing),Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10000824,Bournemouth University,South West,Subjects allied to medicine (excluding nursing),Female,1,120,3.4,115,x,x,77.4,87,89.6,55,16100,20400,21700,x,x,2,51.3
10007785,The University of Bradford,Yorkshire and the Humber,Subjects allied to medicine (excluding nursing),Female,1,320,1.3,315,6.9,9,61.7,76.1,84.1,175,13700,20900,26300,7.8,70,2,64.7
10000886,The University of Brighton,South East,Subjects allied to medicine (excluding nursing),Female,1,115,1.7,115,5.2,7.8,65.2,81.7,87,70,20500,21900,25900,7.6,57.4,2,47
10007786,The University of Bristol,South West,Subjects allied to medicine (excluding nursing),Female,1,135,0,135,2.2,4.5,39.6,67.9,93.3,55,15100,20800,25300,x,x,1,80.6
10000961,Brunel University London,London,Subjects allied to medicine (excluding nursing),Female,1,110,1.8,110,x,x,x,x,82.4,85,18000,21300,25400,x,x,2,42.6
10000975,Buckinghamshire New University,South East,Subjects allied to medicine (excluding nursing),Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007787,The University of Buckingham,South East,Subjects allied to medicine (excluding nursing),Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007788,The University of Cambridge,East,Subjects allied to medicine (excluding nursing),Female,1,75,0.5,75,4.7,7,46,69.8,88.4,30,20100,25800,31200,x,x,1,91.2
10003324,The Institute of Cancer Research,London,Subjects allied to medicine (excluding nursing),Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10001143,Canterbury Christ Church University,South East,Subjects allied to medicine (excluding nursing),Female,1,185,6.4,175,x,x,x,x,87.4,135,18000,21000,23500,x,x,3,21.7
10007141,The University of Central Lancashire,North West,Subjects allied to medicine (excluding nursing),Female,1,140,1.4,140,x,x,57.7,81.7,86.7,70,11100,15200,21800,12.8,67.9,2,52.6
10007848,University of Chester,North West,Subjects allied to medicine (excluding nursing),Female,1,75,1.4,70,x,x,x,x,87.9,40,15400,19200,20700,14.3,61.5,2,40.1
10007137,The University of Chichester,South East,Subjects allied to medicine (excluding nursing),Female,1,15,x,x,x,x,x,x,x,x,x,x,x,x,x,.,.
10001478,The City University,London,Subjects allied to medicine (excluding nursing),Female,1,170,1.7,170,x,x,x,x,91.7,135,15000,23600,26900,x,x,2,60.4
10001653,Conservatoire for Dance and Drama,London,Subjects allied to medicine (excluding nursing),Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007761,Courtauld Institute of Art,London,Subjects allied to medicine (excluding nursing),Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10001726,Coventry University,West Midlands,Subjects allied to medicine (excluding nursing),Female,1,315,1.9,310,5.5,10.2,71.4,79.7,84.3,215,17200,20400,22200,11.9,62.7,2,50
10007822,Cranfield University,East,Subjects allied to medicine (excluding nursing),Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10006427,University for the Creative Arts,South East,Subjects allied to medicine (excluding nursing),Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007842,University of Cumbria,North West,Subjects allied to medicine (excluding nursing),Female,1,115,3.5,110,x,x,x,x,87.4,90,18400,21900,24900,x,x,2,25.6
10001883,De Montfort University,East Midlands,Subjects allied to medicine (excluding nursing),Female,1,255,1.6,250,8.3,9.9,64.7,78.2,81.7,160,14900,20000,23900,10.4,65.1,2,57.9
10007851,University of Derby,East Midlands,Subjects allied to medicine (excluding nursing),Female,1,135,0.7,135,x,x,x,x,82.8,95,11900,17400,21100,x,x,3,35.1
10007143,University of Durham,North East,Subjects allied to medicine (excluding nursing),Female,1,20,0,20,x,x,x,x,86.4,10,13000,22200,23800,16.7,81.8,1,77.3
10007789,The University of East Anglia,East,Subjects allied to medicine (excluding nursing),Female,1,125,0.8,125,x,x,x,x,88.1,85,19600,21700,25200,x,x,1,73.8
10007144,The University of East London,London,Subjects allied to medicine (excluding nursing),Female,1,190,2.1,190,4.5,15.7,62,72.6,79.7,100,10200,17900,23400,x,x,3,17.2
10007823,Edge Hill University,North West,Subjects allied to medicine (excluding nursing),Female,1,25,x,x,x,x,x,x,x,15,7600,11200,17200,x,x,x,x
10007791,The University of Essex,East,Subjects allied to medicine (excluding nursing),Female,1,85,1.1,85,x,x,x,x,75.6,40,14600,21300,29100,5.7,61.6,3,57
10007792,The University of Exeter,South West,Subjects allied to medicine (excluding nursing),Female,1,40,0,40,x,x,52.5,75,87.5,20,22500,24500,29800,x,x,2,72.5
10008640,Falmouth University,South West,Subjects allied to medicine (excluding nursing),Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10004511,The National Film and Television School,South East,Subjects allied to medicine (excluding nursing),Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007145,University of Gloucestershire,South West,Subjects allied to medicine (excluding nursing),Female,1,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10002718,Goldsmiths College,London,Subjects allied to medicine (excluding nursing),Female,1,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10007146,The University of Greenwich,London,Subjects allied to medicine (excluding nursing),Female,1,235,0.9,235,6,9.4,47.2,72.3,84.5,90,12300,23800,35600,6.1,42.3,2,36.9
10007825,Guildhall School of Music and Drama,London,Subjects allied to medicine (excluding nursing),Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10040812,Harper Adams University,West Midlands,Subjects allied to medicine (excluding nursing),Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007147,University of Hertfordshire,East,Subjects allied to medicine (excluding nursing),Female,1,230,0.9,230,3.9,17.8,60.4,73.9,78.3,130,20000,23300,27900,7.2,66.1,2,55.2
10007765,Heythrop College,London,Subjects allied to medicine (excluding nursing),Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007148,The University of Huddersfield,Yorkshire and the Humber,Subjects allied to medicine (excluding nursing),Female,1,205,0.5,205,8.6,7.4,x,x,84,120,13000,20200,25200,x,x,2,25.4
10007149,The University of Hull,Yorkshire and the Humber,Subjects allied to medicine (excluding nursing),Female,1,20,x,x,x,x,x,x,x,10,12900,15700,23200,x,x,x,x
10003270,Imperial College of Science Technology and Medicine,London,Subjects allied to medicine (excluding nursing),Female,1,15,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10007767,The University of Keele,West Midlands,Subjects allied to medicine (excluding nursing),Female,1,85,1.2,80,x,x,x,x,87.3,40,20400,22200,24700,x,x,2,60.6
10007150,The University of Kent,South East,Subjects allied to medicine (excluding nursing),Female,1,65,0,65,6.2,27.7,36.9,56.9,66.2,25,12600,17000,23900,x,x,2,69.2
10003645,King's College London,London,Subjects allied to medicine (excluding nursing),Female,1,410,1,405,2.5,8.6,31.3,63.3,88.9,120,16000,21700,25000,3.3,82.4,1,75
10003678,Kingston University,London,Subjects allied to medicine (excluding nursing),Female,1,150,0.7,150,6,14,51.8,71.2,79.9,65,11000,16300,23000,6.7,69.6,3,59.5
10007768,The University of Lancaster,North West,Subjects allied to medicine (excluding nursing),Female,1,25,0,25,x,x,x,x,92.6,15,13500,16600,21300,x,x,2,81.5
10003854,Leeds College of Art,Yorkshire and the Humber,Subjects allied to medicine (excluding nursing),Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10003861,Leeds Beckett University,Yorkshire and the Humber,Subjects allied to medicine (excluding nursing),Female,1,170,0.6,170,x,x,x,x,85.1,115,13100,19000,21400,14.3,62.5,2,50.6
10007795,The University of Leeds,Yorkshire and the Humber,Subjects allied to medicine (excluding nursing),Female,1,190,1,190,4.5,4.7,50.4,71.2,90.8,95,19400,23700,26700,6.4,86.8,1,77.6
10003863,Leeds Trinity University,Yorkshire and the Humber,Subjects allied to medicine (excluding nursing),Female,1,20,x,x,x,x,x,x,x,15,11400,17600,20400,x,x,x,x
10007796,The University of Leicester,East Midlands,Subjects allied to medicine (excluding nursing),Female,1,30,3.2,30,x,x,20,46.7,73.3,x,x,x,x,x,x,1,90
10007151,The University of Lincoln,East Midlands,Subjects allied to medicine (excluding nursing),Female,1,75,0,75,9.2,6.6,57.9,71.1,84.2,40,8900,12300,16700,16,65.8,3,51.3
10003956,Liverpool Hope University,North West,Subjects allied to medicine (excluding nursing),Female,1,20,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10003957,Liverpool John Moores University,North West,Subjects allied to medicine (excluding nursing),Female,1,155,1.3,155,3.2,12.3,64.1,80.9,84.5,85,14100,19500,25200,11.1,81.9,2,57
10003945,The Liverpool Institute for Performing Arts,North West,Subjects allied to medicine (excluding nursing),Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10006842,The University of Liverpool,North West,Subjects allied to medicine (excluding nursing),Female,1,210,0,210,x,x,62.9,77.6,86.7,130,20000,21700,24300,8.5,83.8,2,63.3
10007162,University of the Arts London,London,Subjects allied to medicine (excluding nursing),Female,1,10,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10007769,London Business School,London,Subjects allied to medicine (excluding nursing),Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007797,University of London (Institutes and activities),London,Subjects allied to medicine (excluding nursing),Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10004048,London Metropolitan University,London,Subjects allied to medicine (excluding nursing),Female,1,175,2.3,170,x,x,x,x,66.9,80,9700,15600,21600,x,x,3,21
10004078,London South Bank University,London,Subjects allied to medicine (excluding nursing),Female,1,100,4.1,95,x,x,x,x,87.2,65,19800,23800,26000,x,x,x,x
10004063,London School of Economics and Political Science,London,Subjects allied to medicine (excluding nursing),Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007771,London School of Hygiene and Tropical Medicine,London,Subjects allied to medicine (excluding nursing),Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10004113,Loughborough University,East Midlands,Subjects allied to medicine (excluding nursing),Female,1,30,0,30,x,x,48.3,65.5,89.7,15,14700,18500,20600,x,x,1,93.1
10004180,The Manchester Metropolitan University,North West,Subjects allied to medicine (excluding nursing),Female,1,220,1.4,220,7.8,8.3,x,x,83.9,145,16200,20600,24300,x,x,2,43.8
10007798,The University of Manchester,North West,Subjects allied to medicine (excluding nursing),Female,1,275,1.5,270,2.9,6.3,57,77,90.8,150,17000,22200,25600,6.4,91.9,1,80.6
10004351,Middlesex University,London,Subjects allied to medicine (excluding nursing),Female,1,120,2.5,115,9.6,10.9,x,x,79.6,75,12800,20400,27900,x,x,3,27.4
10007799,University of Newcastle-upon-Tyne,North East,Subjects allied to medicine (excluding nursing),Female,1,140,1.4,140,x,x,36.1,59.1,80.6,50,14600,18100,24000,7.1,90.7,1,74.9
10007832,Newman University,West Midlands,Subjects allied to medicine (excluding nursing),Female,1,10,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10007138,The University of Northampton,East Midlands,Subjects allied to medicine (excluding nursing),Female,1,85,2.4,80,x,x,x,x,81,55,14300,19800,21500,x,x,3,25.8
10001282,University of Northumbria at Newcastle,North East,Subjects allied to medicine (excluding nursing),Female,1,95,3.2,90,x,x,x,x,80.4,65,19300,20800,24100,x,x,2,28.3
10004775,Norwich University of the Arts,East,Subjects allied to medicine (excluding nursing),Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007154,University of Nottingham,East Midlands,Subjects allied to medicine (excluding nursing),Female,1,215,1.4,215,6.6,6.1,59.3,78.1,87.3,115,16900,21600,24100,9.1,77,1,67.4
10004797,The Nottingham Trent University,East Midlands,Subjects allied to medicine (excluding nursing),Female,1,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10007773,The Open University in England16,South East,Subjects allied to medicine (excluding nursing),Female,1,10,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10004930,Oxford Brookes University,South East,Subjects allied to medicine (excluding nursing),Female,1,165,4.2,160,x,x,x,x,88.7,115,18500,21000,23500,x,x,2,42.1
10007774,The University of Oxford,South East,Subjects allied to medicine (excluding nursing),Female,1,15,5.8,15,x,x,x,x,93.8,x,x,x,x,x,x,1,89.6
10005127,Plymouth College of Art,South West,Subjects allied to medicine (excluding nursing),Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007801,University of Plymouth,South West,Subjects allied to medicine (excluding nursing),Female,1,170,2.9,165,7.8,10.2,66.1,77.8,82,100,14300,20400,22000,x,x,2,42.9
10007155,The University of Portsmouth,South East,Subjects allied to medicine (excluding nursing),Female,1,175,0,175,5.7,6.3,61.9,83,88.1,105,17400,21600,26600,8.6,65.9,2,54.5
10007775,Queen Mary University of London,London,Subjects allied to medicine (excluding nursing),Female,1,35,0,35,x,x,x,48.6,100,x,x,x,x,x,x,1,86.5
10005389,Ravensbourne,London,Subjects allied to medicine (excluding nursing),Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007802,The University of Reading,South East,Subjects allied to medicine (excluding nursing),Female,1,100,0,100,x,x,x,x,85.6,55,19500,21300,24900,x,x,2,75.6
10007776,Roehampton University,London,Subjects allied to medicine (excluding nursing),Female,1,25,x,x,x,x,x,x,x,10,15700,20100,24300,x,x,x,x
10005523,Rose Bruford College,London,Subjects allied to medicine (excluding nursing),Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007835,Royal Academy of Music,London,Subjects allied to medicine (excluding nursing),Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10005545,Royal Agricultural University,South West,Subjects allied to medicine (excluding nursing),Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007777,Royal College of Art,London,Subjects allied to medicine (excluding nursing),Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007778,Royal College of Music,London,Subjects allied to medicine (excluding nursing),Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007816,The Royal Central School of Speech and Drama,London,Subjects allied to medicine (excluding nursing),Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10005553,Royal Holloway and Bedford New College,South East,Subjects allied to medicine (excluding nursing),Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007837,Royal Northern College of Music,North West,Subjects allied to medicine (excluding nursing),Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007779,The Royal Veterinary College,London,Subjects allied to medicine (excluding nursing),Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007782,St George's Hospital Medical School,London,Subjects allied to medicine (excluding nursing),Female,1,165,1.8,160,5,7.5,46.6,70.8,87.6,70,19900,22700,27700,x,x,2,68.9
10007843,St Mary's University Twickenham,London,Subjects allied to medicine (excluding nursing),Female,1,25,7.4,25,x,x,x,x,81.9,15,8600,15000,18500,x,x,2,49.2
10007156,The University of Salford,North West,Subjects allied to medicine (excluding nursing),Female,1,310,1,310,6.1,9.9,73.7,82,84,200,13900,19900,22600,19.5,38,2,24.8
10007780,The School of Oriental and African Studies,London,Subjects allied to medicine (excluding nursing),Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10005790,Sheffield Hallam University,Yorkshire and the Humber,Subjects allied to medicine (excluding nursing),Female,1,270,1.4,265,x,x,65.9,79.1,83.2,175,17400,20800,23300,14.4,66.3,2,57.7
10007157,The University of Sheffield,Yorkshire and the Humber,Subjects allied to medicine (excluding nursing),Female,1,145,0,145,x,x,57.2,76.6,85.5,80,14400,20300,22000,8.6,95.9,1,87.6
10006022,Southampton Solent University,South East,Subjects allied to medicine (excluding nursing),Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007158,The University of Southampton,South East,Subjects allied to medicine (excluding nursing),Female,1,120,0.8,115,x,x,x,x,85.9,85,20400,21200,23300,x,x,1,48.3
10006299,Staffordshire University,West Midlands,Subjects allied to medicine (excluding nursing),Female,1,15,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10037449,University of St Mark and St John,South West,Subjects allied to medicine (excluding nursing),Female,1,5,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10014001,University Campus Suffolk,East,Subjects allied to medicine (excluding nursing),Female,1,60,0,60,x,x,x,x,90,40,17900,22600,24900,x,x,2,33.3
10007159,The University of Sunderland,North East,Subjects allied to medicine (excluding nursing),Female,1,50,0,50,x,x,x,x,85.8,30,18700,22700,28900,23.3,71.9,2,70
10007160,The University of Surrey,South East,Subjects allied to medicine (excluding nursing),Female,1,50,x,x,x,x,x,x,x,35,19200,21200,22900,x,x,x,x
10007806,The University of Sussex,South East,Subjects allied to medicine (excluding nursing),Female,1,25,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10007161,Teesside University,North East,Subjects allied to medicine (excluding nursing),Female,1,95,0,95,x,x,x,x,90.3,65,18000,22300,24600,x,x,2,25.8
10008017,Trinity Laban Conservatoire of Music and Dance,London,Subjects allied to medicine (excluding nursing),Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007784,University College London,London,Subjects allied to medicine (excluding nursing),Female,1,250,1.1,250,2.3,6.8,37.6,68.5,90.8,80,16900,21900,26500,2.4,95.4,1,91.8
10007163,The University of Warwick,West Midlands,Subjects allied to medicine (excluding nursing),Female,1,30,1,30,x,x,48.8,67.1,85.9,15,14300,17700,25900,x,x,1,74.2
10007164,University of the West of England Bristol,South West,Subjects allied to medicine (excluding nursing),Female,1,205,1.5,200,6,10.5,74.5,82,83.5,145,17200,21000,23300,13.6,55,2,40.5
10006566,The University of West London,London,Subjects allied to medicine (excluding nursing),Female,1,40,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10007165,The University of Westminster,London,Subjects allied to medicine (excluding nursing),Female,1,105,4.7,100,x,x,x,x,74,40,8000,13800,20100,x,x,2,22
10003614,The University of Winchester,South East,Subjects allied to medicine (excluding nursing),Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007166,The University of Wolverhampton,West Midlands,Subjects allied to medicine (excluding nursing),Female,1,50,0,50,x,x,46.9,67.7,80.2,20,10900,14200,21400,x,x,2,66.7
10007139,University of Worcester,West Midlands,Subjects allied to medicine (excluding nursing),Female,1,10,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
10007657,Writtle College,East,Subjects allied to medicine (excluding nursing),Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007713,York St John University,Yorkshire and the Humber,Subjects allied to medicine (excluding nursing),Female,1,135,1.5,130,x,x,x,x,80.2,80,15100,19800,22100,x,x,2,44.7
10007167,The University of York,Yorkshire and the Humber,Subjects allied to medicine (excluding nursing),Female,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
10007856,Aberystwyth University,Wales,Subjects allied to medicine (excluding nursing),Female,1,0,x,x,x,x,x,x,x,x,x,x,x,x,x,..,..
10007857,Bangor University,Wales,Subjects allied to medicine (excluding nursing),Female,1,15,x,x,x,x,x,x,x,10,23400,25500,28800,x,x,.,.
10007814,Cardiff University,Wales,Subjects allied to medicine (excluding nursing),Female,1,265,3.4,260,x,x,65.9,79.5,86.4,165,20800,22600,26400,7.1,76.7,.,.
10007854,Cardiff Metropolitan University,Wales,Subjects allied to medicine (excluding nursing),Female,1,130,5.3,125,x,x,x,x,87.2,85,15200,19900,21600,x,x,.,.
10007833,Glynd?r University,Wales,Subjects allied to medicine (excluding nursing),Female,1,30,9.7,30,x,x,x,x,92.9,20,12000,18100,22900,x,x,.,.
